phoneme,start,end
ae,128.64,128.65
n,128.65,128.67
d,128.67,128.68
dh,129.27,129.28
ey,129.28,129.47
r,129.51,129.7
iy,129.7,129.59
d,129.59,129.7
ey,129.96,130.2
w,130.21,130.39
er,130.39,130.32
d,130.32,130.38
ao,130.61,130.71
r,130.71,130.77
ah,130.77,130.87
s,130.87,130.97
eh,130.97,130.95
n,130.95,131.05
t,131.05,131.01
ah,131.01,131.13
n,131.13,131.1
s,131.1,131.13
ah,131.7,131.82
n,131.82,131.78
d,131.78,131.87
dh,131.99,132.0
ey,132.0,132.09
ae,132.14,132.3
s,132.3,132.23
k,132.23,132.33
m,132.49,132.55
iy,132.55,132.64
t,132.64,132.77
uw,132.77,133.05
jh,133.25,133.32
ah,133.32,133.31
s,133.31,133.39
t,133.39,133.42
t,133.6,133.67
eh,133.67,133.67
l,133.67,133.74
dh,133.81,133.85
ah,133.85,133.87
m,133.87,133.96
w,134.03,134.13
ah,134.13,134.1
t,134.1,134.15
d,134.25,134.3
ih,134.3,134.29
d,134.29,134.36
ay,134.41,134.48
hh,134.48,134.58
iy,134.58,134.61
r,134.61,134.77
ao,135.08,135.24
r,135.24,135.32
n,135.4,135.51
aa,135.51,135.49
t,135.49,135.52
hh,135.639999,135.72
iy,135.72,135.75
r,135.75,135.83
ih,135.92,135.96
f,135.96,136.03
ay,136.03,136.09
k,136.09,136.16
ae,136.16,136.2
n,136.2,136.19
t,136.19,136.24
hh,136.36,136.4
iy,136.4,136.4
r,136.4,136.46
ae,136.51,136.56
t,136.56,136.65
ao,136.65,136.73
l,136.73,136.89
ay,137.599999,137.61
hh,137.61,137.73
ey,137.73,137.67
t,137.67,137.77
ih,137.77,137.74
d,137.74,137.77
dh,137.929999,137.94
ae,137.94,137.98
t,137.98,138.04
t,138.05,138.12
eh,138.12,138.14
s,138.14,138.15
t,138.15,138.16
b,138.29,138.35
ih,138.35,138.33
k,138.33,138.44
ao,138.44,138.41
z,138.41,138.65
ay,139.099999,139.26
g,139.259999,139.32
ih,139.32,139.3
t,139.3,139.35
ih,139.41,139.45
t,139.45,139.52
r,139.52,139.62
ao,139.62,139.64
ng,139.64,139.78
ah,139.94,140.06
l,140.059999,140.16
ao,140.16,140.13
t,140.13,140.24
ae,140.429999,140.58
n,140.58,140.65
d,140.65,140.71
ah,141.25,141.37
b,141.37,141.47
ih,141.47,141.47
t,141.47,141.57
ih,141.889999,141.96
m,141.96,141.98
b,141.98,142.0
eh,142.0,142.03
r,142.03,142.03
ah,142.03,142.07
s,142.07,142.1
ih,142.1,142.11
ng,142.11,142.16
ae,142.369999,142.43
t,142.43,142.49
t,142.49,142.57
ay,142.57,142.66
m,142.66,142.65
z,142.65,142.71
b,142.91,143.0
ah,143.0,143.01
t,143.01,143.1
ih,143.77,143.86
t,143.86,143.9
ih,143.9,143.99
z,143.99,144.04
w,144.039999,144.1
ah,144.1,144.07
t,144.07,144.11
ih,144.17000000000002,144.44
t,144.44,144.52
ae,144.56,144.67
n,144.67,144.6
d,144.6,144.67
ay,144.78,144.92
r,144.959999,144.97
ih,144.97,145.02
m,145.02,144.98
eh,144.98,145.06
m,145.06,145.02
b,145.02,145.09
er,145.09,145.15
d,145.21,145.29
uw,145.29,145.26
ih,145.26,145.34
ng,145.34,145.36
dh,145.42000000000002,145.48
ae,145.48,145.48
t,145.48,145.57
jh,145.68,145.75
ah,145.75,145.73
s,145.73,145.8
t,145.8,145.84
d,145.89,145.94
ih,145.94,145.95
n,145.95,146.04
t,146.04,146.08
l,146.15,146.23
ay,146.23,146.23
k,146.23,146.31
ih,146.39,146.45
t,146.45,146.53
b,147.03,147.12
ah,147.12,147.08
t,147.08,147.18
l,147.27,147.33
ay,147.33,147.32
k,147.32,147.4
ay,147.46,147.54
s,147.54,147.62
eh,147.62,147.64
d,147.64,147.73
n,147.82,147.93
aa,147.93,147.94
t,147.94,148.02
eh,148.2,148.31
v,148.31,148.28
r,148.28,148.32
iy,148.32,148.34
w,148.34,148.34
ah,148.34,148.39
n,148.39,148.47
k,148.61,148.66
ah,148.66,148.68
n,148.68,148.75
l,148.8,148.87
ih,148.87,148.87
p,148.87,148.97
r,149.04,149.11
iy,149.11,149.11
d,149.11,149.19
ih,149.28,149.38
t,149.38,149.48
k,149.63,149.75
ae,149.75,149.78
n,149.78,149.89
b,150.01,150.09
iy,150.09,150.22
ey,150.27,150.41
s,150.41,150.58
k,150.58,150.52
ih,150.52,150.69
l,150.69,150.83
t,150.99,151.07
uw,151.07,151.16
l,151.16,151.35
er,151.35,151.27
n,151.27,151.39
b,151.82,151.9
ah,151.9,151.87
t,151.87,151.95
ih,152.04,152.05
t,152.05,152.13
k,152.13,152.23
ae,152.23,152.27
n,152.27,152.39
ao,152.559999,152.67
l,152.67,152.66
s,152.66,152.76
ow,152.76,152.84
k,152.94,153.0
ah,153.0,153.03
m,153.03,153.15
n,153.21,153.27
ae,153.27,153.32
ch,153.32,153.43
r,153.43,153.41
ah,153.41,153.5
l,153.5,153.47
iy,153.47,153.7
d,154.08,154.14
ih,154.14,154.13
p,154.13,154.23
eh,154.23,154.17
n,154.17,154.29
d,154.29,154.23
ih,154.23,154.34
ng,154.34,154.43
ao,154.62,154.77
n,154.77,154.9
y,154.95,155.04
ao,155.04,155.08
r,155.08,155.16
s,155.25,155.4
er,155.4,155.34
aw,155.34,155.47
n,155.47,155.41
d,155.41,155.54
ih,155.54,155.42
ng,155.42,155.48
ih,155.78,155.84
n,155.84,155.84
v,155.84,155.95
ay,155.95,155.94
r,155.94,155.96
ah,155.96,155.98
n,155.98,156.0
m,156.0,156.0
ah,156.0,156.04
n,156.04,156.05
t,156.05,156.1
ah,156.52,156.59
n,156.59,156.55
d,156.55,156.63
hh,156.7,156.77
aw,156.77,156.85
y,156.849999,156.98
uw,156.98,157.08
g,157.11,157.17
r,157.17,157.15
uw,157.15,157.23
ah,157.29,157.38
p,157.38,157.54
ah,157.86,157.92
n,157.92,157.92
d,157.92,157.96
ih,158.02,158.06
t,158.06,158.12
d,158.15,158.26
ah,158.26,158.21
z,158.21,158.31
ah,158.31,158.26
n,158.26,158.35
t,158.35,158.4
m,158.509999,158.62
ae,158.62,158.66
t,158.66,158.74
er,158.74,159.03
hh,159.36,159.51
aw,159.51,159.77
g,159.889999,159.99
uh,159.99,159.95
d,159.95,160.02
y,160.119999,160.15
uw,160.15,160.25
aa,160.25,160.37
r,160.37,160.45
ae,160.49,160.62
t,160.62,160.7
ah,160.93,161.05
n,161.05,161.08
d,161.08,161.18
hh,161.309999,161.44
aw,161.44,161.53
l,161.529999,161.56
ao,161.56,161.59
ng,161.59,161.66
y,161.690001,161.73
uw,161.73,161.75
v,161.75,161.78
b,161.82,161.85
ih,161.85,161.88
n,161.88,161.98
d,162.01,162.1
uw,162.1,162.07
ih,162.07,162.15
ng,162.15,162.19
ih,162.25,162.34
t,162.34,162.4
ih,162.690001,162.78
t,162.78,162.85
ih,162.88,162.98
z,162.98,163.09
p,163.74,163.82
r,163.82,163.82
aa,163.82,163.87
b,163.87,163.87
ah,163.87,163.92
b,163.92,163.92
l,163.92,163.97
iy,163.97,164.09
ao,164.31,164.44
l,164.44,164.37
m,164.37,164.49
ow,164.49,164.46
s,164.46,164.56
t,164.56,164.58
ih,164.78,164.88
m,164.88,164.88
p,164.88,164.94
aa,164.94,165.0
s,165.0,165.01
ah,165.01,165.08
b,165.08,165.02
ah,165.02,165.15
l,165.15,165.16
ih,165.41,165.49
f,165.49,165.56
n,165.56,165.6
aa,165.6,165.6
t,165.6,165.65
ih,165.7,165.77
m,165.77,165.78
p,165.78,165.87
aa,165.87,165.91
s,165.91,165.94
ah,165.94,165.99
b,165.99,165.97
ah,165.97,166.04
l,166.04,166.14
t,166.68,166.75
uw,166.75,166.82
g,166.82,166.89
eh,166.89,166.9
t,166.9,166.92
ih,166.99,167.04
t,167.04,167.13
r,168.07,168.19
ay,168.19,168.15
t,168.15,168.27
b,168.93,169.0
ih,169.0,168.98
k,168.98,169.1
ao,169.1,169.08
z,169.08,169.15
ih,169.39,169.48
t,169.48,169.43
s,169.43,169.47
jh,169.56,169.65
ah,169.65,169.63
s,169.63,169.69
t,169.69,169.75
n,169.82,169.84
aa,169.84,169.89
t,169.89,169.96
p,169.98,170.05
aa,170.05,170.06
s,170.06,170.09
ah,170.09,170.12
b,170.12,170.1
ah,170.1,170.16
l,170.16,170.19
t,170.309999,170.37
ih,170.37,170.41
b,170.42,170.49
iy,170.49,170.58
ey,170.58,170.63
b,170.63,170.64
ah,170.64,170.65
l,170.65,170.7
t,170.76,170.81
ih,170.81,170.86
p,170.86,170.95
ih,170.95,170.93
k,170.93,171.0
ah,171.09,171.13
p,171.13,171.29
eh,171.37,171.53
v,171.53,171.48
r,171.48,171.61
iy,171.61,171.7
s,171.809999,171.88
ih,171.88,171.88
ng,171.88,171.95
g,171.95,171.92
ah,171.92,172.03
l,172.03,172.06
w,172.17,172.32
er,172.32,172.24
d,172.24,172.36
jh,172.719999,172.87
ah,172.87,172.8
s,172.8,172.94
t,172.94,172.99
b,173.08,173.19
ay,173.19,173.41
hh,173.42,173.52
ae,173.52,173.48
v,173.48,173.56
ih,173.56,173.56
ng,173.56,173.68
dh,174.0,174.09
iy,174.09,174.21
s,174.23,174.33
aw,174.33,174.32
n,174.32,174.39
d,174.39,174.45
ah,175.13,175.29
n,175.29,175.17
d,175.17,175.23
l,175.4,175.54
ih,175.54,175.46
p,175.46,175.54
r,175.679999,175.76
iy,175.76,175.74
d,175.74,175.79
ih,175.79,175.79
ng,175.79,175.9
ow,176.15,176.28
n,176.28,176.25
l,176.25,176.35
iy,176.35,176.48
dh,177.009999,177.17
ae,177.17,177.06
t,177.06,177.13
ih,177.569999,177.58
z,177.58,177.58
ah,177.58,177.62
n,177.62,177.68
ah,177.749999,177.86
s,177.86,177.87
hh,178.539999,178.64
ae,178.64,178.62
v,178.62,178.67
b,178.77,178.82
ih,178.82,178.82
n,178.82,178.88
s,178.93,179.02
t,179.02,179.02
ah,179.02,179.1
d,179.1,179.1
iy,179.1,179.19
z,179.19,179.27
aw,179.5,179.66
t,179.66,179.73
dh,179.74,179.83
eh,179.83,179.85
r,179.85,180.0
w,180.32999999999998,180.47
eh,180.47,180.43
r,180.43,180.5
er,180.719999,180.85
aw,180.85,180.79
n,180.79,180.9
ah,183.7,183.94
v,183.94,183.95
dh,184.12,184.27
iy,184.27,184.39
w,184.39,184.53
er,184.53,184.54
d,184.54,184.59
z,184.59,184.6
dh,185.0,185.12
ae,185.12,185.05
t,185.05,185.11
y,185.23,185.26
uw,185.26,185.35
k,185.35,185.43
ah,185.43,185.43
n,185.43,185.66
l,186.16,186.28
ih,186.28,186.22
p,186.22,186.27
r,186.43,186.49
iy,186.49,186.52
d,186.52,186.64
aa,186.84,186.96
r,186.96,187.01
p,187.06,187.12
ih,187.12,187.12
k,187.12,187.17
t,187.17,187.24
ah,187.3,187.39
p,187.39,187.5
ih,187.75,187.84
n,187.84,187.89
dh,187.89,187.94
iy,187.94,187.97
ih,187.98,188.05
ng,188.05,188.06
g,188.06,188.1
l,188.1,188.08
ih,188.08,188.15
sh,188.15,188.28
l,188.38,188.46
ae,188.46,188.44
ng,188.44,188.5
g,188.5,188.47
w,188.47,188.55
ih,188.55,188.52
jh,188.52,188.58
eh,188.78,188.87
n,188.87,188.83
iy,188.83,188.89
w,188.89,188.9
ey,188.9,189.0
ih,189.12,189.13
t,189.13,189.14
m,189.25,189.37
ay,189.37,189.31
t,189.31,189.37
b,189.49,189.53
iy,189.53,189.59
d,189.59,189.63
ih,189.63,189.64
f,189.64,189.69
r,189.69,189.65
ah,189.65,189.71
n,189.71,189.69
t,189.69,189.75
f,189.87,189.89
er,189.89,189.98
ah,190.0,190.07
dh,190.07,190.06
er,190.06,190.13
l,190.2,190.26
ae,190.26,190.27
ng,190.27,190.28
g,190.28,190.31
w,190.31,190.31
ih,190.31,190.37
jh,190.37,190.38
ih,190.38,190.4
z,190.4,190.47
b,190.67,190.77
ah,190.77,190.73
t,190.73,190.83
ih,191.469999,191.55
f,191.55,191.61
y,191.61,191.65
uw,191.65,191.73
k,191.73,191.76
ah,191.76,191.79
n,191.79,191.82
ow,191.87,191.95
n,191.95,191.91
l,191.91,192.0
iy,192.0,192.05
p,192.09,192.16
ih,192.16,192.16
k,192.16,192.23
ah,192.3,192.34
p,192.34,192.44
ah,193.299999,193.37
v,193.37,193.45
w,193.45,193.5
ah,193.5,193.5
t,193.5,193.55
dh,193.599999,193.63
ae,193.63,193.64
t,193.64,193.71
p,193.74,193.82
er,193.82,193.81
s,193.81,193.91
ah,193.91,193.83
n,193.83,193.92
ih,194.09,194.14
z,194.14,194.26
s,194.27,194.39
ey,194.39,194.41
ih,194.41,194.45
ng,194.45,194.57
b,195.32,195.43
ay,195.43,195.55
l,195.559999,195.63
ih,195.63,195.61
p,195.61,195.69
r,195.759999,195.82
iy,195.82,195.81
d,195.81,195.86
ih,195.86,195.83
ng,195.83,195.84
ih,196.319999,196.44
t,196.44,196.35
s,196.35,196.36
jh,196.489999,196.6
ah,196.6,196.55
s,196.55,196.65
t,196.65,196.73
n,196.999999,197.13
aa,197.13,197.24
t,197.24,197.25
ao,197.549999,197.62
l,197.62,197.76
ih,197.789999,197.88
t,197.88,197.87
s,197.87,198.11
n,198.34,198.5
ah,198.5,198.44
th,198.44,198.58
ih,198.58,198.49
ng,198.49,198.63
s,199.25,199.37
ow,199.37,199.44
dh,199.44,199.48
ae,199.48,199.49
t,199.49,199.52
s,199.52,199.57
w,199.62,199.7
ay,199.7,199.8
l,199.81,199.88
ih,199.88,199.88
p,199.88,199.95
r,200.02,200.09
iy,200.09,200.07
d,200.07,200.13
ih,200.13,200.08
ng,200.08,200.14
ih,200.25,200.33
z,200.33,200.41
ah,200.98,201.07
v,201.07,201.14
m,201.15,201.27
eh,201.27,201.23
n,201.23,201.32
iy,201.32,201.41
ah,201.52,201.59
dh,201.59,201.59
er,201.59,201.65
k,201.72,201.82
l,201.82,201.8
uw,201.8,201.93
z,201.93,201.98
ih,202.06,202.12
t,202.12,202.1
s,202.1,202.2
p,202.33,202.4
aa,202.4,202.38
r,202.38,202.44
t,202.44,202.48
ah,202.53,202.59
v,202.59,202.62
dh,202.64,202.7
ah,202.7,202.74
hh,202.74,202.8
ow,202.8,202.83
l,202.83,202.94
th,203.0,203.12
ih,203.12,203.11
ng,203.11,203.21
w,203.49,203.62
eh,203.62,203.54
n,203.54,203.63
ay,203.78,204.01
t,204.01,204.1
r,204.1,204.09
ay,204.09,204.19
t,204.28,204.35
uw,204.35,204.43
k,204.43,204.48
ah,204.48,204.5
m,204.5,204.51
y,204.51,204.51
uw,204.51,204.55
n,204.55,204.53
ah,204.53,204.6
k,204.6,204.61
ey,204.61,204.65
t,204.65,204.72
w,204.9,204.92
ih,204.92,204.95
dh,204.95,204.98
ah,205.0,205.01
n,205.01,205.01
ah,205.01,205.05
dh,205.05,205.1
er,205.1,205.15
p,205.2,205.29
er,205.29,205.31
s,205.31,205.39
ah,205.39,205.37
n,205.37,205.5
ih,205.95,206.04
t,206.04,205.99
s,205.99,206.04
p,206.13,206.19
aa,206.19,206.21
r,206.21,206.22
t,206.22,206.3
ah,206.4,206.51
v,206.51,206.61
dh,206.61,206.65
iy,206.65,206.71
hh,206.71,206.76
ow,206.76,206.75
l,206.75,206.88
ah,206.95,207.01
g,207.01,207.02
eh,207.02,207.06
n,207.06,207.16
f,207.34,207.49
ey,207.49,207.38
sh,207.38,207.57
ah,207.57,207.44
l,207.44,207.45
ih,207.679999,207.73
k,207.73,207.75
s,207.75,207.74
p,207.74,207.79
r,207.79,207.79
eh,207.79,207.85
sh,207.85,207.89
ah,207.89,207.92
n,207.92,207.96
ae,208.17,208.22
n,208.22,208.23
d,208.23,208.29
jh,208.349999,208.44
eh,208.44,208.43
s,208.43,208.52
ch,208.52,208.53
er,208.53,208.6
z,208.6,208.65
ah,208.83,208.87
n,208.87,208.86
d,208.86,208.93
b,208.969999,209.03
aa,209.03,209.03
d,209.03,209.09
iy,209.09,209.15
l,209.21,209.28
ae,209.28,209.27
ng,209.27,209.32
g,209.32,209.33
w,209.33,209.34
ih,209.34,209.41
jh,209.41,209.47
dh,209.77,209.83
eh,209.83,209.81
r,209.81,209.86
t,209.92,210.07
ow,210.07,210.04
n,210.04,210.12
ah,210.27,210.32
v,210.32,210.38
v,210.389999,210.5
oy,210.5,210.51
s,210.51,210.59
ah,210.719999,210.73
n,210.73,210.73
d,210.73,210.81
hh,210.82,210.9
aw,210.9,211.04
dh,211.07,211.11
eh,211.11,211.11
r,211.11,211.16
s,211.2,211.27
p,211.27,211.29
iy,211.29,211.35
k,211.35,211.34
ih,211.34,211.42
ng,211.42,211.52
dh,211.86,211.94
ey,211.94,212.01
ao,212.02,212.21
l,212.21,212.33
g,212.36,212.42
ih,212.42,212.4
v,212.4,212.47
m,212.54,212.63
iy,212.63,212.79
k,212.83,212.94
l,212.94,212.95
uw,212.95,213.1
z,213.1,213.18
ah,213.349999,213.45
v,213.45,213.53
w,213.66,213.77
ah,213.77,213.71
t,213.71,213.75
dh,213.87,213.91
ae,213.91,213.91
t,213.91,214.0
p,214.039999,214.12
er,214.12,214.13
s,214.13,214.21
ah,214.21,214.16
n,214.16,214.31
ih,214.52,214.63
z,214.63,214.72
t,214.719999,214.81
ao,214.81,214.83
k,214.83,214.89
ih,214.89,214.9
ng,214.9,214.94
ah,215.109999,215.16
b,215.16,215.18
aw,215.18,215.21
t,215.21,215.34
ah,215.67000000000002,215.75
n,215.75,215.73
d,215.73,215.81
ih,215.9,215.91
t,215.91,215.91
s,215.91,215.94
r,215.959999,216.1
iy,216.1,216.04
l,216.04,216.15
iy,216.15,216.19
r,216.27,216.31
iy,216.31,216.3
l,216.3,216.37
iy,216.37,216.38
ih,216.41,216.43
m,216.43,216.46
p,216.46,216.49
ao,216.49,216.53
r,216.53,216.5
t,216.5,216.58
ah,216.58,216.51
n,216.51,216.61
t,216.61,216.67
dh,216.77,216.78
ae,216.78,216.83
t,216.83,216.93
p,217.01,217.06
iy,217.06,217.06
p,217.06,217.13
ah,217.13,217.11
l,217.11,217.22
n,217.5,217.65
ow,217.65,217.73
dh,217.73,217.81
ae,217.81,217.8
t,217.8,217.89
b,218.32,218.4
ah,218.4,218.36
t,218.36,218.44
w,218.52,218.63
ah,218.63,218.59
n,218.59,218.65
th,218.76,218.79
ih,218.79,218.85
ng,218.85,218.88
dh,218.91,218.96
ae,218.96,218.95
t,218.95,219.0
y,219.05,219.08
uw,219.08,219.15
sh,219.15,219.23
uh,219.23,219.23
d,219.23,219.28
b,219.37,219.43
iy,219.43,219.5
ah,219.53,219.61
w,219.61,219.66
eh,219.66,219.72
r,219.72,219.81
ah,219.94,220.02
v,220.02,220.08
ah,220.14,220.21
n,220.21,220.17
d,220.17,220.18
ih,220.25,220.32
t,220.32,220.28
s,220.28,220.29
s,220.44,220.56
ow,220.56,220.62
ih,220.62,220.67
m,220.67,220.66
p,220.66,220.74
ao,220.74,220.75
r,220.75,220.78
t,220.78,220.79
ah,220.79,220.79
n,220.79,220.84
t,220.84,220.91
dh,221.08,221.1
ae,221.1,221.17
t,221.17,221.27
ih,221.36,221.44
t,221.44,221.43
s,221.43,221.53
ih,221.64,221.75
g,221.75,221.75
z,221.75,221.91
ao,221.91,221.87
s,221.87,222.0
t,222.0,221.94
ih,221.94,222.06
ng,222.06,222.12
t,222.42,222.52
uw,222.52,222.59
d,222.59,222.65
uw,222.65,222.82
ih,222.83,222.84
t,222.84,222.85
ao,222.91,223.05
l,223.05,223.12
dh,223.12,223.16
ah,223.16,223.22
t,223.23,223.35
ay,223.35,223.39
m,223.39,223.51
ih,223.64,223.71
t,223.71,223.7
s,223.7,223.78
s,224.309999,224.46
ow,224.46,224.53
m,224.53,224.61
ah,224.61,224.58
ch,224.58,224.75
k,225.0,225.13
aa,225.13,225.05
n,225.05,225.18
s,225.18,225.09
ah,225.09,225.25
n,225.25,225.13
t,225.13,225.32
r,225.32,225.24
ey,225.24,225.4
sh,225.4,225.33
ah,225.33,225.47
n,225.47,225.54
y,225.88,225.95
uh,225.95,225.95
r,225.95,226.01
f,226.08,226.25
ow,226.25,226.16
k,226.16,226.34
ah,226.34,226.23
s,226.23,226.43
ih,226.43,226.31
ng,226.31,226.46
ao,227.03,227.14
n,227.14,227.2
w,227.2,227.26
ah,227.26,227.24
t,227.24,227.27
dh,227.33,227.35
ae,227.35,227.38
t,227.38,227.44
p,227.46,227.52
er,227.52,227.53
s,227.53,227.59
ah,227.59,227.58
n,227.58,227.73
ih,227.87,227.88
z,227.88,227.89
s,227.889999,228.04
ey,228.04,228.06
ih,228.06,228.11
ng,228.11,228.28
ae,228.82,228.98
n,228.98,228.93
d,228.93,228.98
ih,229.16,229.22
t,229.22,229.21
s,229.21,229.25
ih,229.309999,229.36
g,229.36,229.38
z,229.38,229.43
ao,229.43,229.44
s,229.44,229.49
t,229.49,229.48
ih,229.48,229.53
ng,229.53,229.61
ih,229.84,229.91
t,229.91,229.98
k,229.98,230.04
ae,230.04,230.08
n,230.08,230.14
b,230.2,230.28
iy,230.28,230.38
v,230.41,230.47
eh,230.47,230.45
r,230.45,230.53
iy,230.53,230.56
v,230.599999,230.69
eh,230.69,230.61
r,230.61,230.78
iy,230.78,230.83
hh,230.839999,230.93
aa,230.93,230.98
r,230.98,230.98
d,230.98,231.07
w,231.4,231.5
ih,231.5,231.47
ch,231.47,231.56
ih,231.66,231.74
z,231.74,231.82
w,231.82,231.92
ay,231.92,232.07
ih,232.07,232.19
t,232.19,232.11
s,232.11,232.15
ah,232.27,232.33
n,232.33,232.34
ah,232.34,232.39
dh,232.39,232.44
er,232.44,232.48
r,232.6,232.62
iy,232.62,232.69
z,232.69,232.67
ah,232.67,232.72
n,232.72,232.8
w,232.869999,232.98
ay,232.98,233.26
y,233.4,233.51
uw,233.51,233.59
k,233.59,233.65
ah,233.65,233.65
n,233.65,233.74
ow,233.82,234.01
n,234.01,233.91
l,233.91,234.09
iy,234.09,234.22
d,234.32,234.44
uw,234.44,234.54
ih,234.54,234.62
t,234.62,234.72
hh,234.88,234.98
w,234.98,235.06
ah,235.06,235.06
n,235.06,235.09
ao,235.27,235.33
n,235.33,235.45
w,235.45,235.57
ah,235.57,235.53
n,235.53,235.66
m,236.48,236.61
iy,236.61,236.55
n,236.55,236.66
ih,236.66,236.6
ng,236.6,236.69
y,236.88,236.93
uw,236.93,236.99
k,236.99,237.01
ah,237.01,237.02
n,237.02,237.06
ow,237.08,237.13
n,237.13,237.09
l,237.09,237.14
iy,237.14,237.21
d,237.22,237.27
uw,237.27,237.32
ih,237.32,237.33
t,237.33,237.38
w,237.38,237.41
ih,237.41,237.42
th,237.42,237.49
w,237.53,237.63
ah,237.63,237.6
n,237.6,237.67
p,237.77,237.84
er,237.84,237.88
s,237.88,237.92
ah,237.92,237.94
n,237.94,238.06
w,238.32,238.39
ih,238.39,238.36
ch,238.36,238.42
m,238.49,238.55
ey,238.55,238.56
k,238.56,238.59
s,238.59,238.6
s,238.67,238.74
eh,238.74,238.75
n,238.75,238.83
s,238.83,238.95
y,239.07,239.14
uw,239.14,239.2
k,239.2,239.29
ae,239.29,239.34
n,239.34,239.34
t,239.34,239.42
l,239.71,239.8
uh,239.8,239.76
k,239.76,239.81
ae,239.9,240.01
t,240.01,240.17
t,240.39,240.5
uw,240.5,240.61
ao,240.61,240.7
r,240.7,240.75
m,240.75,240.83
ao,240.83,240.84
r,240.84,240.9
p,240.98,241.03
iy,241.03,241.05
p,241.05,241.11
ah,241.11,241.1
l,241.1,241.19
z,241.19,241.3
l,241.69,241.83
ih,241.83,241.73
p,241.73,241.9
s,241.9,242.05
ae,242.34,242.44
t,242.44,242.49
dh,242.49,242.53
ah,242.53,242.59
s,242.59,242.69
ey,242.69,242.67
m,242.67,242.74
t,242.84,242.92
ay,242.92,242.96
m,242.96,243.07
dh,243.4,243.46
ae,243.46,243.45
t,243.45,243.5
s,243.5,243.53
ih,243.77,243.9
m,243.9,243.83
p,243.83,243.98
aa,243.98,243.94
s,243.94,244.04
ah,244.04,244.02
b,244.02,244.06
ah,244.06,244.08
l,244.08,244.19
s,244.78,244.89
ow,244.89,245.14
ih,245.23,245.3
n,245.3,245.36
ah,245.36,245.46
g,245.469999,245.6
r,245.6,245.52
uw,245.52,245.65
p,245.65,245.73
ih,245.8,245.89
n,245.89,245.87
v,245.87,245.97
ay,245.97,245.98
r,245.98,245.98
ah,245.98,246.03
n,246.03,246.04
m,246.04,246.05
ah,246.05,246.11
n,246.11,246.1
t,246.1,246.19
l,246.69,246.8
ih,246.8,246.74
p,246.74,246.81
r,246.92,246.99
iy,246.99,247.0
d,247.0,247.03
ih,247.03,247.05
ng,247.05,247.14
ih,247.32,247.68
z,247.68,247.8
p,248.009999,248.07
r,248.07,248.07
ih,248.07,248.16
t,248.16,248.2
iy,248.2,248.37
m,248.549999,248.63
ah,248.63,248.6
ch,248.6,248.67
ih,248.77,248.83
m,248.83,248.83
p,248.83,248.88
aa,248.88,248.93
s,248.93,248.92
ah,248.92,249.01
b,249.01,248.94
ah,248.94,249.04
l,249.04,249.15
hh,249.7,249.8
aw,249.8,249.78
eh,249.78,249.86
v,249.86,249.85
er,249.85,249.91
ay,250.09,250.2
d,250.199999,250.3
uw,250.3,250.39
g,250.389999,250.45
eh,250.45,250.43
t,250.43,250.52
dh,250.57999999999998,250.62
ah,250.62,250.69
f,250.690001,250.81
iy,250.81,250.76
l,250.76,250.85
ih,250.85,250.82
ng,250.82,250.89
dh,251.049999,251.12
ae,251.12,251.13
t,251.13,251.21
m,251.279999,251.35
ey,251.35,251.36
b,251.36,251.41
iy,251.41,251.5
dh,251.57999999999998,251.64
ah,251.64,251.72
w,251.719999,251.83
er,251.83,251.77
d,251.77,251.86
l,251.969999,252.02
ih,252.02,252.03
p,252.03,252.13
r,252.18,252.26
iy,252.26,252.24
d,252.24,252.27
ih,252.27,252.33
ng,252.33,252.41
ih,252.539999,252.79
z,252.79,252.9
ah,252.97,253.08
b,253.08,253.21
ih,253.21,253.16
t,253.16,253.23
m,253.44,253.6
ih,253.6,253.53
s,253.53,253.74
l,253.74,253.63
iy,253.63,253.83
d,253.83,253.66
ih,253.66,253.88
ng,253.88,253.95
b,254.17,254.21
ih,254.21,254.22
k,254.22,254.29
ao,254.29,254.29
z,254.29,254.35
p,254.5,254.55
iy,254.55,254.57
p,254.57,254.61
ah,254.61,254.62
l,254.62,254.7
ah,254.84,254.93
s,254.93,254.94
uw,254.94,255.02
m,255.02,255.09
dh,255.19,255.23
ae,255.23,255.29
t,255.29,255.39
y,255.63,255.69
uh,255.69,255.68
r,255.68,255.72
jh,255.78,255.85
ah,255.85,255.85
s,255.85,255.97
t,255.97,255.98
s,256.05,256.11
t,256.11,256.15
eh,256.15,256.2
r,256.2,256.21
ih,256.21,256.26
ng,256.26,256.33
ae,256.53,256.63
t,256.63,256.69
dh,256.69,256.76
ah,256.76,256.84
l,256.84,256.95
ih,256.95,256.91
p,256.91,257.02
s,257.02,257.13
ah,257.27,257.34
n,257.34,257.36
d,257.36,257.44
dh,257.67,257.68
ae,257.68,257.68
t,257.68,257.69
s,257.69,257.7
ih,257.78,257.89
t,257.89,258.0
ih,258.29,258.37
t,258.37,258.45
m,258.45,258.46
ay,258.46,258.56
t,258.56,258.64
b,258.65,258.7
iy,258.7,258.76
t,258.76,258.83
r,258.83,258.79
uw,258.79,258.8
f,259.02,259.08
er,259.08,259.15
s,259.15,259.22
ah,259.22,259.23
m,259.23,259.29
p,259.36,259.43
iy,259.43,259.43
p,259.43,259.5
ah,259.5,259.48
l,259.48,259.57
b,259.73,259.77
ah,259.77,259.76
